location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Hauptstraße (Süd), Erlangen;2024-01-05 23:00:00 +0100;Friday;330;5;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 00:00:00 +0100;Saturday;306;2;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 01:00:00 +0100;Saturday;185;3;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-06 02:00:00 +0100;Saturday;126;2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-06 03:00:00 +0100;Saturday;105;2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-06 04:00:00 +0100;Saturday;61;1;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-06 05:00:00 +0100;Saturday;44;2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-06 06:00:00 +0100;Saturday;27;1;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-06 07:00:00 +0100;Saturday;24;1;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-06 08:00:00 +0100;Saturday;49;1;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-06 09:00:00 +0100;Saturday;152;1;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-06 10:00:00 +0100;Saturday;180;1;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-06 11:00:00 +0100;Saturday;325;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 12:00:00 +0100;Saturday;374;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 13:00:00 +0100;Saturday;568;5;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 14:00:00 +0100;Saturday;785;5;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 15:00:00 +0100;Saturday;797;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 16:00:00 +0100;Saturday;775;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 17:00:00 +0100;Saturday;738;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-06 18:00:00 +0100;Saturday;743;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 19:00:00 +0100;Saturday;657;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 20:00:00 +0100;Saturday;519;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 21:00:00 +0100;Saturday;537;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-06 22:00:00 +0100;Saturday;421;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-06 23:00:00 +0100;Saturday;419;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 00:00:00 +0100;Sunday;320;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 01:00:00 +0100;Sunday;234;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 02:00:00 +0100;Sunday;149;3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 03:00:00 +0100;Sunday;106;3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 04:00:00 +0100;Sunday;78;3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 05:00:00 +0100;Sunday;72;3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 06:00:00 +0100;Sunday;24;2;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 07:00:00 +0100;Sunday;22;2;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 08:00:00 +0100;Sunday;75;1;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 09:00:00 +0100;Sunday;125;1;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-07 10:00:00 +0100;Sunday;156;1;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 11:00:00 +0100;Sunday;251;0;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 12:00:00 +0100;Sunday;336;0;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 13:00:00 +0100;Sunday;509;0;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 14:00:00 +0100;Sunday;535;0;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 15:00:00 +0100;Sunday;680;0;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-07 16:00:00 +0100;Sunday;685;-1;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-07 17:00:00 +0100;Sunday;511;-1;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 18:00:00 +0100;Sunday;468;-2;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 19:00:00 +0100;Sunday;400;-2;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 20:00:00 +0100;Sunday;274;-3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 21:00:00 +0100;Sunday;192;-3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 22:00:00 +0100;Sunday;158;-3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-07 23:00:00 +0100;Sunday;136;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 00:00:00 +0100;Monday;37;-2;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 01:00:00 +0100;Monday;13;-2;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 02:00:00 +0100;Monday;10;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 03:00:00 +0100;Monday;18;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 04:00:00 +0100;Monday;7;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 05:00:00 +0100;Monday;72;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 06:00:00 +0100;Monday;150;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 07:00:00 +0100;Monday;461;-3;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 08:00:00 +0100;Monday;444;-3;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-08 09:00:00 +0100;Monday;584;-3;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 10:00:00 +0100;Monday;747;-4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 11:00:00 +0100;Monday;890;-4;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 12:00:00 +0100;Monday;1050;-3;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 13:00:00 +0100;Monday;1105;-3;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 14:00:00 +0100;Monday;989;-3;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 15:00:00 +0100;Monday;971;-3;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 16:00:00 +0100;Monday;1112;-4;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-08 17:00:00 +0100;Monday;981;-5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-08 18:00:00 +0100;Monday;810;-5;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-08 19:00:00 +0100;Monday;522;-5;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-08 20:00:00 +0100;Monday;249;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-08 21:00:00 +0100;Monday;176;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-08 22:00:00 +0100;Monday;155;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-08 23:00:00 +0100;Monday;93;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 00:00:00 +0100;Tuesday;40;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 01:00:00 +0100;Tuesday;19;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 02:00:00 +0100;Tuesday;3;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 03:00:00 +0100;Tuesday;4;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 04:00:00 +0100;Tuesday;5;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 05:00:00 +0100;Tuesday;59;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 06:00:00 +0100;Tuesday;94;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 07:00:00 +0100;Tuesday;385;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 08:00:00 +0100;Tuesday;464;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 09:00:00 +0100;Tuesday;582;-6;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 10:00:00 +0100;Tuesday;779;-4;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 11:00:00 +0100;Tuesday;865;-3;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 12:00:00 +0100;Tuesday;1070;-1;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 13:00:00 +0100;Tuesday;1049;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 14:00:00 +0100;Tuesday;1039;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 15:00:00 +0100;Tuesday;1107;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 16:00:00 +0100;Tuesday;1253;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-09 17:00:00 +0100;Tuesday;1181;-1;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 18:00:00 +0100;Tuesday;883;-2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 19:00:00 +0100;Tuesday;675;-3;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 20:00:00 +0100;Tuesday;340;-3;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 21:00:00 +0100;Tuesday;257;-4;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 22:00:00 +0100;Tuesday;209;-4;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-09 23:00:00 +0100;Tuesday;90;-5;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 00:00:00 +0100;Wednesday;41;-4;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 01:00:00 +0100;Wednesday;18;-5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-10 02:00:00 +0100;Wednesday;17;-6;partly-cloudy-night;
